Timestamp,ins.pitch,Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],
11301,18.0297,11301,0.314683,11301,-0.000243642,11301,0.314671,11301,-9.49029e-05,
29763,18.033,29763,0.314734,29763,-2.05335e-05,29763,0.314707,29763,-0.000113495,
66490,18.0326,66490,0.314702,66490,-0.000132088,66490,0.31473,66490,-0.000113495,
91809,18.0315,91809,0.314704,91809,-0.00022505,91809,0.314727,91809,-0.000243642,
126184,18.0315,126184,0.31469,126184,-5.77182e-05,126184,0.314722,126184,0.000109613,
154016,18.0288,154016,0.314661,154016,-0.000132088,154016,0.314691,154016,-1.94109e-06,
190305,18.0297,190305,0.314669,190305,0.000128206,190305,0.314667,190305,-0.000132088,
217661,18.0312,217661,0.314708,217661,-3.91258e-05,217661,0.314674,217661,0.000351314,
254010,18.0317,254010,0.314724,254010,-9.49029e-05,254010,0.314721,254010,-1.94109e-06,
281953,18.0309,281953,0.314696,281953,-9.49029e-05,281953,0.314725,281953,-0.000373789,
315698,18.029,315698,0.31465,315698,0.000128206,315698,0.31468,315698,0.00016539,
341516,18.0301,341516,0.314657,341516,1.66513e-05,341516,0.314686,341516,-7.63106e-05,
373929,18.0298,373929,0.314681,373929,-0.000187865,373929,0.314699,373929,-2.05335e-05,
403533,18.0296,403533,0.314702,403533,7.24284e-05,403533,0.314691,403533,-3.91258e-05,
439370,18.0318,439370,0.314705,439370,0.000332722,439370,0.314712,439370,-0.000113495,
471448,18.0329,471448,0.314714,471448,9.10208e-05,471448,0.314696,471448,1.66513e-05,
504148,18.0341,504148,0.314776,504148,0.000109613,504148,0.314749,504148,-2.05335e-05,
529476,18.0342,529476,0.31474,529476,-3.91258e-05,529476,0.314733,529476,0.000128206,
564222,18.0297,564222,0.314677,564222,0.000109613,564222,0.31471,564222,-9.49029e-05,
592605,18.0354,592605,0.314775,592605,1.66513e-05,592605,0.314754,592605,0.000202575,
624596,18.0316,624596,0.314706,624596,1.66513e-05,624596,0.31473,624596,-0.000113495,
663028,18.0249,663028,0.314623,663028,-1.94109e-06,663028,0.314628,663028,0.000369906,
