Timestamp,LQRXObsBuf[0][0],Timestamp,LQRXObsBuf[0][1],Timestamp,LQRXObsBuf[0][2],Timestamp,LQRXObsBuf[0][3],Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][0],Timestamp,LQRXObsBuf[1][1],Timestamp,LQRXObsBuf[1][2],Timestamp,LQRXObsBuf[1][3],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],Timestamp,LQRXRefBuf[0][0],Timestamp,LQRXRefBuf[0][1],Timestamp,LQRXRefBuf[0][2],Timestamp,LQRXRefBuf[0][3],Timestamp,LQRXRefBuf[0][4],Timestamp,LQRXRefBuf[0][5],Timestamp,LQRXRefBuf[1][0],Timestamp,LQRXRefBuf[1][1],Timestamp,LQRXRefBuf[1][2],Timestamp,LQRXRefBuf[1][3],Timestamp,LQRXRefBuf[1][4],Timestamp,LQRXRefBuf[1][5],Timestamp,LQROutBuf[0][0],Timestamp,LQROutBuf[0][1],Timestamp,LQROutBuf[1][0],Timestamp,LQROutBuf[1][1],
10188,-0.343246,10188,-0.000254924,10188,-6.13181e-07,10188,0,10188,-0.351597,10188,0.000146798,10188,-0.359035,10188,0.000626892,10188,3.55935e-06,10188,0,10188,-0.351659,10188,-7.63106e-05,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,0,10188,-3.36286,10188,7.30938,10188,-3.57169,10188,7.32551,
120550,-0.343136,120550,-0.000289082,120550,-8.64632e-07,120550,-0.000155245,120550,-0.351527,120550,0.000276945,120550,-0.358986,120550,0.00184174,120550,-1.14417e-06,120550,5.23357e-05,120550,-0.351602,120550,-0.000169272,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,0,120550,-3.36917,120550,7.31028,120550,-3.57571,120550,7.32524,
210789,-0.343177,210789,0.000992025,210789,-1.52141e-06,210789,0,210789,-0.351548,210789,-3.91258e-05,210789,-0.358965,210789,-0.0024674,210789,-3.65128e-06,210789,-0.00132763,210789,-0.351521,210789,-0.00022505,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,0,210789,-3.36918,210789,7.30582,210789,-3.58083,210789,7.32307,
306702,-0.343221,306702,0.00121845,306702,-1.31502e-06,306702,0,306702,-0.351616,306702,-0.000336604,306702,-0.359043,306702,-0.00215024,306702,-4.88595e-07,306702,0,306702,-0.351623,306702,7.24284e-05,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,0,306702,-3.35693,306702,7.31104,306702,-3.57734,306702,7.32561,
397550,-0.343199,397550,0.00176569,397550,-7.83379e-07,397550,0,397550,-0.351541,397550,9.10208e-05,397550,-0.35903,397550,-0.0015539,397550,-4.73919e-07,397550,0,397550,-0.351564,397550,-2.05335e-05,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,0,397550,-3.36323,397550,7.31026,397550,-3.57862,397550,7.32426,
489832,-0.343197,489832,0.0022108,489832,-2.91493e-07,489832,0.00203234,489832,-0.351565,489832,-2.05335e-05,489832,-0.359003,489832,-0.00161637,489832,-1.60456e-06,489832,0.000272952,489832,-0.351543,489832,-0.000262234,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,0,489832,-3.36451,489832,7.30775,489832,-3.57527,489832,7.32535,
583873,-0.343288,583873,0.000340825,583873,-2.05601e-06,583873,1.20855e-05,583873,-0.351665,583873,-0.000113495,583873,-0.35909,583873,-0.000273011,583873,-4.43176e-06,583873,0.000391164,583873,-0.351629,583873,0.000128206,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,0,583873,-3.37832,583873,7.30854,583873,-3.57487,583873,7.32466,
681168,-0.343249,681168,0.00256104,681168,-1.3624e-06,681168,-0.00147929,681168,-0.35164,681168,-0.000113495,681168,-0.359043,681168,0.000849707,681168,-2.66423e-07,681168,-0.00411038,681168,-0.351616,681168,-3.91258e-05,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,0,681168,-3.37773,681168,7.31095,681168,-3.58359,681168,7.32363,
777224,-0.343143,777224,-0.000252926,777224,2.45256e-06,777224,-0.00302942,777224,-0.351511,777224,0.000258352,777224,-0.35896,777224,0.001126,777224,-2.68681e-06,777224,0,777224,-0.351529,777224,0.000407091,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,0,777224,-3.36241,777224,7.3063,777224,-3.57866,777224,7.3254,
866273,-0.343255,866273,0.00117458,866273,1.73663e-06,866273,0,866273,-0.351609,866273,-0.000187865,866273,-0.359003,866273,-0.00190085,866273,-6.29807e-07,866273,0,866273,-0.351528,866273,0.00023976,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,0,866273,-3.3689,866273,7.30785,866273,-3.57976,866273,7.32218,
968605,-0.343106,968605,0.00115502,968605,-2.65854e-06,968605,0,968605,-0.351489,968605,0.000146798,968605,-0.358911,968605,-0.00215187,968605,1.09604e-06,968605,0,968605,-0.351513,968605,-0.00022505,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,0,968605,-3.35506,968605,7.30856,968605,-3.5707,968605,7.32526,
1056152,-0.343053,1056152,-0.00138311,1056152,-1.66059e-06,1056152,0,1056152,-0.351398,1056152,-0.00015068,1056152,-0.358819,1056152,-0.00107336,1056152,2.22186e-06,1056152,0,1056152,-0.351417,1056152,-3.91258e-05,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,0,1056152,-3.36925,1056152,7.30395,1056152,-3.57161,1056152,7.3212,
1149286,-0.342971,1149286,-0.00108517,1149286,-2.15697e-06,1149286,0.00265815,1149286,-0.351348,1149286,0.000128206,1149286,-0.358788,1149286,-0.000269026,1149286,7.76513e-07,1149286,0,1149286,-0.351366,1149286,5.3836e-05,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,0,1149286,-3.35994,1149286,7.30331,1149286,-3.57611,1149286,7.31791,
1245847,-0.342913,1245847,0.00088387,1245847,3.17089e-06,1245847,-0.000330902,1245847,-0.351304,1245847,-0.000132088,1245847,-0.358736,1245847,0.000787366,1245847,-3.81682e-07,1245847,-0.00200503,1245847,-0.351293,1245847,3.52437e-05,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,0,1245847,-3.36347,1245847,7.30485,1245847,-3.5922,1245847,7.31747,
1337941,-0.342946,1337941,-0.000956141,1337941,-8.36268e-08,1337941,-0.000492372,1337941,-0.351324,1337941,5.3836e-05,1337941,-0.358741,1337941,-0.000685518,1337941,-3.00888e-07,1337941,0,1337941,-0.351335,1337941,-0.000206457,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,0,1337941,-3.36422,1337941,7.30411,1337941,-3.57706,1337941,7.31743,
1435655,-0.34293,1435655,-0.000538615,1435655,-1.42792e-06,1435655,-0.000645677,1435655,-0.351282,1435655,-2.05335e-05,1435655,-0.358709,1435655,-7.52787e-05,1435655,-1.24148e-06,1435655,0,1435655,-0.351289,1435655,-0.00015068,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,0,1435655,-3.36337,1435655,7.30227,1435655,-3.58183,1435655,7.31938,
1521084,-0.342866,1521084,0.00102853,1521084,3.8357e-07,1521084,-0.000880899,1521084,-0.351227,1521084,0.000146798,1521084,-0.358647,1521084,-0.00157159,1521084,-4.05293e-08,1521084,0,1521084,-0.351201,1521084,9.10208e-05,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,0,1521084,-3.36301,1521084,7.30169,1521084,-3.57591,1521084,7.31566,
1619796,-0.34292,1619796,-0.00137792,1619796,9.72589e-07,1619796,0,1619796,-0.351267,1619796,-0.000132088,1619796,-0.358664,1619796,0.000532132,1619796,1.42102e-06,1619796,0,1619796,-0.351223,1619796,-0.000169272,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,0,1619796,-3.36373,1619796,7.30058,1619796,-3.5765,1619796,7.31588,
1714767,-0.342883,1714767,-0.000608309,1714767,8.88611e-07,1714767,0.000992184,1714767,-0.351234,1714767,-0.000113495,1714767,-0.358675,1714767,0.000259343,1714767,3.35214e-06,1714767,-0.00109835,1714767,-0.351258,1714767,0.000183983,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,0,1714767,-3.35088,1714767,7.30258,1714767,-3.57134,1714767,7.31802,
1810203,-0.34281,1810203,0.000139185,1810203,-1.96894e-06,1810203,0,1810203,-0.35116,1810203,0.000258352,1810203,-0.358592,1810203,0.000571136,1810203,2.21063e-06,1810203,0,1810203,-0.35118,1810203,1.66513e-05,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,0,1810203,-3.36776,1810203,7.30167,1810203,-3.57273,1810203,7.31618,
2024040,-0.342676,2024040,-0.00168389,2024040,-1.11764e-06,2024040,0,2024040,-0.351004,2024040,-0.000132088,2024040,-0.358378,2024040,0.000233302,2024040,4.99403e-07,2024040,0.00149598,2024040,-0.350976,2024040,-2.05335e-05,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,0,2024040,-3.36156,2024040,7.29629,2024040,-3.56751,2024040,7.31153,
2120472,-0.342771,2120472,0.00168569,2120472,-2.87482e-06,2120472,0,2120472,-0.351152,2120472,0.00023976,2120472,-0.358565,2120472,0.00142247,2120472,1.07712e-06,2120472,0,2120472,-0.351147,2120472,-5.77182e-05,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,0,2120472,-3.35913,2120472,7.29865,2120472,-3.57429,2120472,7.31306,
2212410,-0.342796,2212410,0.00074915,2212410,1.08407e-06,2212410,-0.00114409,2212410,-0.351141,2212410,1.66513e-05,2212410,-0.358536,2212410,0.00028677,2212410,7.65432e-07,2212410,0,2212410,-0.351159,2212410,-0.000280827,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,0,2212410,-3.35342,2212410,7.29925,2212410,-3.56477,2212410,7.31425,
2299392,-0.342947,2299392,0.000308997,2299392,2.03698e-06,2299392,0,2299392,-0.351295,2299392,-0.000113495,2299392,-0.358708,2299392,-0.000617372,2299392,2.93978e-06,2299392,0,2299392,-0.351277,2299392,-0.000206457,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,0,2299392,-3.35838,2299392,7.30252,2299392,-3.57008,2299392,7.31803,
2592888,-0.342905,2592888,-0.000386909,2592888,-1.50637e-06,2592888,0,2592888,-0.351268,2592888,5.3836e-05,2592888,-0.3587,2592888,-0.000604857,2592888,-5.57061e-07,2592888,-0.000316653,2592888,-0.351266,2592888,0.000183983,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,0,2592888,-3.3554,2592888,7.30324,2592888,-3.57367,2592888,7.32022,
2701479,-0.343052,2701479,0.000270716,2701479,2.19776e-06,2701479,0,2701479,-0.351402,2701479,-0.000113495,2701479,-0.358818,2701479,-0.0023191,2701479,-2.93089e-06,2701479,0,2701479,-0.351367,2701479,-9.49029e-05,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,0,2701479,-3.36298,2701479,7.3024,2701479,-3.56589,2701479,7.31824,
2795223,-0.342866,2795223,-0.00145172,2795223,1.43742e-06,2795223,0,2795223,-0.351295,2795223,-2.05335e-05,2795223,-0.358756,2795223,-0.000202387,2795223,1.07108e-06,2795223,-0.000701177,2795223,-0.351354,2795223,-0.000169272,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,0,2795223,-3.3604,2795223,7.30837,2795223,-3.57687,2795223,7.32083,
2917662,-0.342884,2917662,0.000498693,2917662,2.93612e-07,2917662,-0.00206495,2917662,-0.351275,2917662,-0.000243642,2917662,-0.358693,2917662,-0.000263374,2917662,2.34786e-07,2917662,0.00163228,2917662,-0.351302,2917662,-0.00015068,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,0,2917662,-3.36348,2917662,7.30018,2917662,-3.57796,2917662,7.31695,
3013321,-0.342879,3013321,0.00106696,3013321,-7.35643e-07,3013321,0,3013321,-0.351245,3013321,-0.000355196,3013321,-0.358667,3013321,0.00131634,3013321,-1.31782e-06,3013321,0.000291393,3013321,-0.351299,3013321,-1.94109e-06,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,0,3013321,-3.36267,3013321,7.30166,3013321,-3.57747,3013321,7.31658,
3104500,-0.342817,3104500,-0.000662374,3104500,2.2694e-06,3104500,0,3104500,-0.351214,3104500,0.000128206,3104500,-0.358641,3104500,-0.000188603,3104500,1.19452e-06,3104500,0,3104500,-0.351201,3104500,-0.000113495,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,0,3104500,-3.36597,3104500,7.30232,3104500,-3.5705,3104500,7.31728,
3202272,-0.342848,3202272,6.76895e-05,3202272,-1.57738e-06,3202272,-0.00125555,3202272,-0.351164,3202272,-0.000503935,3202272,-0.358552,3202272,0.000828868,3202272,1.38375e-06,3202272,0,3202272,-0.351166,3202272,0.000183983,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,0,3202272,-3.35966,3202272,7.2988,3202272,-3.57582,3202272,7.3146,
3292010,-0.342801,3292010,0.000520569,3292010,7.33026e-07,3292010,0,3292010,-0.351154,3292010,-0.000169272,3292010,-0.358601,3292010,-3.13732e-05,3292010,-2.65524e-07,3292010,0,3292010,-0.351192,3292010,-0.000169272,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,0,3292010,-3.35661,3292010,7.29905,3292010,-3.56798,3292010,7.31552,
3402668,-0.342781,3402668,0.000973902,3402668,-2.49704e-06,3402668,0,3402668,-0.351123,3402668,0.000221167,3402668,-0.35857,3402668,0.00270502,3402668,8.01234e-07,3402668,0.00317931,3402668,-0.351177,3402668,-0.000132088,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,0,3402668,-3.35819,3402668,7.30027,3402668,-3.57173,3402668,7.316,
3497706,-0.34286,3497706,-0.000383102,3497706,1.33911e-06,3497706,0.00140563,3497706,-0.351212,3497706,-9.49029e-05,3497706,-0.358627,3497706,0.000699666,3497706,-1.24265e-07,3497706,0.0026492,3497706,-0.351213,3497706,5.3836e-05,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,0,3497706,-3.36142,3497706,7.29935,3497706,-3.5689,3497706,7.31721,
3592036,-0.342845,3592036,1.84834e-05,3592036,-1.5194e-06,3592036,0.000312342,3592036,-0.351208,3592036,0.00023976,3592036,-0.358642,3592036,0.0007537,3592036,-2.22075e-06,3592036,0,3592036,-0.35125,3592036,1.66513e-05,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,0,3592036,-3.36639,3592036,7.30065,3592036,-3.56829,3592036,7.31507,
3686372,-0.34283,3686372,0.00080746,3686372,1.82457e-06,3686372,0,3686372,-0.351229,3686372,3.52437e-05,3686372,-0.35865,3686372,-0.00111562,3686372,1.66658e-06,3686372,0,3686372,-0.351229,3686372,-0.000113495,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,0,3686372,-3.36203,3686372,7.30124,3686372,-3.56723,3686372,7.31651,
3781430,-0.342916,3781430,-0.00136721,3781430,-1.08646e-06,3781430,0,3781430,-0.351244,3781430,7.24284e-05,3781430,-0.358668,3781430,-0.000553809,3781430,8.55472e-07,3781430,0,3781430,-0.351265,3781430,-0.000280827,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,0,3781430,-3.35893,3781430,7.30012,3781430,-3.5712,3781430,7.31552,
3872540,-0.342876,3872540,0.00164625,3872540,2.47273e-06,3872540,-0.0015999,3872540,-0.351247,3872540,7.24284e-05,3872540,-0.358694,3872540,-0.000541587,3872540,-1.778e-07,3872540,0,3872540,-0.351248,3872540,1.66513e-05,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,0,3872540,-3.36487,3872540,7.30347,3872540,-3.57499,3872540,7.31786,
3964610,-0.342944,3964610,-0.00121406,3964610,-4.02191e-06,3964610,0,3964610,-0.351311,3964610,-3.91258e-05,3964610,-0.358716,3964610,0.000623199,3964610,1.31567e-06,3964610,0,3964610,-0.351306,3964610,-0.00015068,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,0,3964610,-3.35934,3964610,7.3015,3964610,-3.57458,3964610,7.31841,
4062382,-0.342749,4062382,0.000500402,4062382,9.88318e-07,4062382,0,4062382,-0.351153,4062382,-0.000280827,4062382,-0.358572,4062382,-0.00280022,4062382,-1.58543e-06,4062382,0,4062382,-0.351185,4062382,-0.000299419,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,0,4062382,-3.36709,4062382,7.302,4062382,-3.57952,4062382,7.31553,
