Timestamp,Vx_Delta,Timestamp,chassis_vx_filter,
9748,0,9748,8.5494e-06,
29882,0,29882,7.24611e-06,
45591,0,45591,-9.05941e-06,
76282,0,76282,8.03405e-06,
92402,0,92402,-3.58297e-06,
127415,0,127415,7.47456e-06,
136608,0,136608,2.00537e-06,
153596,0,153596,1.2253e-05,
183474,0,183474,1.44151e-07,
200094,0,200094,-7.11472e-06,
214976,0,214976,1.18517e-05,
229676,0,229676,1.39054e-05,
247453,0,247453,8.33115e-06,
277843,0,277843,6.93963e-06,
307289,0,307289,-1.16782e-06,
323025,0,323025,1.60804e-05,
341490,0,341490,1.11487e-05,
369690,0,369690,-8.65597e-06,
386392,0,386392,1.20287e-05,
403674,0,403674,7.95463e-06,
432631,0,432631,1.37513e-05,
448195,0,448195,-3.56301e-06,
466331,0,466331,1.06774e-05,
494299,0,494299,1.39441e-05,
510492,0,510492,2.49565e-05,
524998,0,524998,2.24484e-06,
541546,0,541546,1.33156e-06,
549979,0,549979,1.04767e-05,
573597,0,573597,1.03448e-05,
588220,0,588220,9.32184e-06,
606252,0,606252,-3.60241e-06,
635980,0,635980,5.58238e-06,
651212,0,651212,1.44222e-05,
686232,0,686232,6.34382e-06,
693392,0,693392,8.85007e-06,
702443,0,702443,1.24263e-05,
710185,0,710185,2.02566e-05,
729611,0,729611,8.69704e-06,
744390,0,744390,5.41599e-06,
762487,0,762487,8.4844e-06,
789527,0,789527,5.33619e-06,
805443,0,805443,-8.89797e-06,
821816,0,821816,5.69411e-06,
836388,0,836388,2.36984e-06,
854099,0,854099,9.64128e-06,
868625,0,868625,1.0123e-05,
883967,0,883967,1.49434e-05,
899452,0,899452,5.95296e-06,
914544,0,914544,8.33176e-06,
928862,0,928862,-6.94426e-06,
946427,0,946427,1.30862e-05,
977236,0,977236,8.38608e-06,
992378,0,992378,1.47891e-05,
1006543,0,1006543,1.57456e-05,
1024583,0,1024583,1.16341e-05,
1052470,0,1052470,4.68595e-06,
1071129,0,1071129,1.70105e-05,
1100134,0,1100134,1.03767e-05,
1115815,0,1115815,1.03767e-05,
1130324,0,1130324,1.03767e-05,
1146788,0,1146788,1.03767e-05,
1163512,0,1163512,1.03767e-05,
1193033,0,1193033,1.03767e-05,
1207744,0,1207744,1.03767e-05,
1225405,0,1225405,1.03767e-05,
1254135,0,1254135,1.03767e-05,
1271423,0,1271423,1.03767e-05,
1302139,0,1302139,1.03767e-05,
1316792,0,1316792,1.03767e-05,
1331966,0,1331966,1.03767e-05,
1349489,0,1349489,1.03767e-05,
1379031,0,1379031,1.03767e-05,
1394426,0,1394426,1.03767e-05,
1413732,0,1413732,1.03767e-05,
1441332,0,1441332,1.03767e-05,
1456499,0,1456499,1.03767e-05,
1472359,0,1472359,1.03767e-05,
1488256,0,1488256,1.03767e-05,
1504510,0,1504510,1.03767e-05,
1523326,0,1523326,1.03767e-05,
1549946,0,1549946,1.03767e-05,
1566537,0,1566537,1.03767e-05,
1582497,0,1582497,1.03767e-05,
1599828,0,1599828,1.03767e-05,
1628609,0,1628609,1.03767e-05,
1643517,0,1643517,1.03767e-05,
1660487,0,1660487,1.03767e-05,
1676677,0,1676677,1.03767e-05,
1690256,0,1690256,1.03767e-05,
1706772,0,1706772,1.03767e-05,
1722551,0,1722551,1.03767e-05,
1738314,0,1738314,1.03767e-05,
1753567,0,1753567,1.03767e-05,
1770224,0,1770224,1.03767e-05,
1787354,0,1787354,1.03767e-05,
1817063,0,1817063,1.03767e-05,
1829886,0,1829886,1.03767e-05,
1845573,0,1845573,1.03767e-05,
1863702,0,1863702,1.03767e-05,
1877058,0,1877058,1.03767e-05,
1893426,0,1893426,1.03767e-05,
1909456,0,1909456,1.03767e-05,
1926407,0,1926407,1.03767e-05,
1940403,0,1940403,1.03767e-05,
1955636,0,1955636,1.03767e-05,
1970695,0,1970695,1.03767e-05,
1988591,0,1988591,1.03767e-05,
2019528,0,2019528,1.03767e-05,
2048376,0,2048376,1.03767e-05,
2062605,0,2062605,1.03767e-05,
2080846,0,2080846,1.03767e-05,
2093431,0,2093431,1.03767e-05,
2124592,0,2124592,1.03767e-05,
2154634,0,2154634,1.03767e-05,
2172979,0,2172979,1.03767e-05,
2185779,0,2185779,1.03767e-05,
2201441,0,2201441,1.03767e-05,
2217569,0,2217569,1.03767e-05,
2232326,0,2232326,1.03767e-05,
2248666,0,2248666,1.03767e-05,
2280317,0,2280317,1.03767e-05,
2297828,0,2297828,1.03767e-05,
2324636,0,2324636,1.03767e-05,
2341165,0,2341165,1.03767e-05,
2361667,0,2361667,1.03767e-05,
2390262,0,2390262,1.03767e-05,
2398998,0,2398998,1.03767e-05,
2422787,0,2422787,1.03767e-05,
2451481,0,2451481,1.03767e-05,
2466533,0,2466533,1.03767e-05,
2482193,0,2482193,1.03767e-05,
2497470,0,2497470,1.03767e-05,
2512494,0,2512494,1.03767e-05,
2527917,0,2527917,1.03767e-05,
2544556,0,2544556,1.03767e-05,
2561344,0,2561344,1.03767e-05,
2575940,0,2575940,1.03767e-05,
2593647,0,2593647,1.03767e-05,
2611229,0,2611229,1.03767e-05,
2639159,0,2639159,1.03767e-05,
2658257,0,2658257,1.03767e-05,
2688203,0,2688203,1.03767e-05,
2701538,0,2701538,1.03767e-05,
2719820,0,2719820,1.03767e-05,
2735741,0,2735741,1.03767e-05,
2751512,0,2751512,1.03767e-05,
2780695,0,2780695,1.03767e-05,
2796237,0,2796237,1.03767e-05,
2827503,0,2827503,1.03767e-05,
2842576,0,2842576,1.03767e-05,
2860512,0,2860512,1.03767e-05,
