Timestamp,dm_motor[0].measure.angle_delta,Timestamp,dm_motor[1].measure.angle_delta,Timestamp,dm_motor[2].measure.angle_delta,Timestamp,dm_motor[3].measure.angle_delta,
9331,0,9331,0,9331,0,9331,0,
68985,0,68985,0,68985,0,68985,0,
115108,0,115108,0,115108,0,115108,0,
164885,0,164885,0,164885,0,164885,0,
209315,0,209315,0,209315,0,209315,0,
261614,0,261614,0,261614,0,261614,0,
311653,0,311653,0,311653,0,311653,0,
366636,0,366636,0,366636,0,366636,0,
413141,0,413141,0,413141,0,413141,0,
465415,0,465415,0,465415,0,465415,0,
511472,0,511472,0,511472,0,511472,0,
564255,0,564255,0,564255,0,564255,0,
619559,0,619559,0,619559,0,619559,0,
680165,0,680165,0,680165,0,680165,0,
720034,0,720034,0,720034,0,720034,0,
770275,0,770275,0,770275,0,770275,0,
825173,0,825173,0,825173,0,825173,0,
885418,0,885418,0,885418,0,885418,0,
934358,0,934358,0,934358,0,934358,0,
982128,0,982128,0,982128,0,982128,0,
1039519,0,1039519,0,1039519,0,1039519,0,
1092279,0,1092279,0,1092279,0,1092279,0,
1152529,0,1152529,0,1152529,0,1152529,0,
1205441,0,1205441,0,1205441,0,1205441,0,
1253670,0,1253670,0,1253670,0,1253670,0,
1295639,0,1295639,0,1295639,0,1295639,0,
1346435,0,1346435,0,1346435,0,1346435,0,
1400682,0,1400682,0,1400682,0,1400682,0,
1441005,0,1441005,0,1441005,0,1441005,0,
1485778,0,1485778,0,1485778,0,1485778,0,
1533814,0,1533814,0,1533814,0,1533814,0,
1591410,0,1591410,0,1591410,0,1591410,0,
1645094,0,1645094,0,1645094,0,1645094,0,
1693334,0,1693334,0,1693334,0,1693334,0,
1739062,0,1739062,0,1739062,0,1739062,0,
1793725,0,1793725,0,1793725,0,1793725,0,
1837635,0,1837635,0,1837635,0,1837635,0,
1892271,0,1892271,0,1892271,0,1892271,0,
1950673,0,1950673,0,1950673,0,1950673,0,
1994328,0,1994328,0,1994328,0,1994328,0,
2043130,0,2043130,0,2043130,0,2043130,0,
2090646,0,2090646,0,2090646,0,2090646,0,
2147793,0,2147793,0,2147793,0,2147793,0,
2202692,0,2202692,0,2202692,0,2202692,0,
2246342,0,2246342,0,2246342,0,2246342,0,
2297890,0,2297890,0,2297890,0,2297890,0,
2341491,0,2341491,0,2341491,0,2341491,0,
2408260,0,2408260,0,2408260,0,2408260,0,
2461157,0,2461157,0,2461157,0,2461157,0,
2518094,0,2518094,0,2518094,0,2518094,0,
2608166,0,2608166,0,2608166,0,2608166,0,
2661506,0,2661506,0,2661506,0,2661506,0,
2708817,0,2708817,0,2708817,0,2708817,0,
2774362,0,2774362,0,2774362,0,2774362,0,
2815209,0,2815209,0,2815209,0,2815209,0,
2868641,0,2868641,0,2868641,0,2868641,0,
2918783,0,2918783,0,2918783,0,2918783,0,
2989534,0,2989534,0,2989534,0,2989534,0,
3044352,0,3044352,0,3044352,0,3044352,0,
3107807,0,3107807,0,3107807,0,3107807,0,
3167150,0,3167150,0,3167150,0,3167150,0,
3228181,0,3228181,0,3228181,0,3228181,0,
3287669,0,3287669,0,3287669,0,3287669,0,
3333563,0,3333563,0,3333563,0,3333563,0,
3427418,0,3427418,0,3427418,0,3427418,0,
3477640,0,3477640,0,3477640,0,3477640,0,
3533358,0,3533358,0,3533358,0,3533358,0,
3588239,0,3588239,0,3588239,0,3588239,0,
3647395,0,3647395,0,3647395,0,3647395,0,
3699369,0,3699369,0,3699369,0,3699369,0,
3758792,0,3758792,0,3758792,0,3758792,0,
3819088,0,3819088,0,3819088,0,3819088,0,
3872467,0,3872467,0.00268459,3872467,0,3872467,0,
4174950,0,4174950,0.000191689,4174950,-0.00479364,4174950,0,
4225952,0,4225952,0,4225952,-0.00095892,4225952,0,
4297408,0,4297408,0,4297408,0,4297408,0,
4351469,0,4351469,0,4351469,0.000191689,4351469,0,
4430051,0,4430051,0,4430051,0,4430051,0,
4480573,0,4480573,0,4480573,0.00517702,4480573,0,
4545728,0,4545728,0,4545728,0,4545728,0,
4612729,0,4612729,0,4612729,0,4612729,0,
4678736,0,4678736,0,4678736,0,4678736,0,
4737016,0,4737016,0,4737016,0,4737016,0,
4808485,0,4808485,0,4808485,0,4808485,0,
4873611,0,4873611,0,4873611,0,4873611,0,
4946591,0,4946591,0,4946591,0,4946591,0,
5011498,0,5011498,0,5011498,0,5011498,0,
5081555,0,5081555,0,5081555,0,5081555,0,
5133993,0,5133993,0,5133993,0,5133993,0,
5190098,0,5190098,0,5190098,0,5190098,0,
5264500,0,5264500,0,5264500,0,5264500,0,
5327247,0,5327247,0,5327247,0,5327247,0,
5402621,0,5402621,0,5402621,0,5402621,0,
5454670,0,5454670,0,5454670,0,5454670,0,
5523517,0,5523517,0,5523517,0,5523517,0,
5582513,0,5582513,0,5582513,0,5582513,0,
5652567,0,5652567,0,5652567,0,5652567,0,
5697954,0,5697954,0,5697954,0,5697954,0,
5743922,0,5743922,0,5743922,0,5743922,0,
5807398,0,5807398,0,5807398,0,5807398,0,
5874301,0,5874301,0,5874301,0,5874301,0,
5923663,0,5923663,0,5923663,0,5923663,0,
5977409,0,5977409,0,5977409,0,5977409,0,
6041183,0,6041183,0,6041183,0,6041183,0,
6110792,0,6110792,0,6110792,0,6110792,0,
6171510,0,6171510,0,6171510,0,6171510,0,
6229114,0,6229114,0,6229114,0,6229114,0,
6298400,0,6298400,0,6298400,0,6298400,0,
6342231,0,6342231,0,6342231,0,6342231,0,
6406307,0,6406307,0,6406307,0,6406307,0,
6475365,0,6475365,0,6475365,0,6475365,0,
6523909,0,6523909,0,6523909,0,6523909,0,
6590396,0,6590396,0,6590396,0,6590396,0,
6660309,0,6660309,0,6660309,0,6660309,0,
6722472,0,6722472,0,6722472,0,6722472,0,
6781836,0,6781836,0,6781836,0,6781836,0,
6842323,0,6842323,0,6842323,0,6842323,0,
6911868,0,6911868,0,6911868,0,6911868,0,
6978436,0,6978436,0,6978436,0,6978436,0,
7027981,0,7027981,0,7027981,0,7027981,0,
7076624,0,7076624,0,7076624,0,7076624,0,
7118845,0,7118845,0,7118845,0,7118845,0,
7167906,0,7167906,0,7167906,0,7167906,0,
7217779,0,7217779,0,7217779,0,7217779,0,
7262118,0,7262118,0,7262118,0,7262118,0,
7321467,0,7321467,0,7321467,0,7321467,0,
7372892,0,7372892,0,7372892,0,7372892,0,
7436451,0,7436451,0,7436451,0,7436451,0,
7492382,0,7492382,0,7492382,0,7492382,0,
7547347,0,7547347,0,7547347,0,7547347,0,
7602358,0,7602358,0,7602358,0,7602358,0,
7656045,0,7656045,0,7656045,0,7656045,0,
