Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/base_link.STL,,标准件-铰制孔螺栓_D6×30-M5.STEP.STEP-4;M3-2孔直角连接件（半）.STEP.STEP-4;M3-4孔直角连接件.STEP.STEP-20;标准件-铰制孔螺栓_D6×30-M5.STEP.STEP-3;标准件-铰制孔螺栓_D6×30-M5.STEP.STEP-2;M3-4孔直角连接件.STEP.STEP-19;碳纤维-2mm-底部控制核心板.STEP.STEP-1;标准件-铰制孔螺栓_D6×30-M5.STEP.STEP-1;M3-2孔直角连接件（半）.STEP.STEP-3;RM2024-主控（含SD卡）.STEP.STEP-1;M3-2孔直角连接件（半）.STEP.STEP-1;M3-4孔直角连接件.STEP.STEP-18;M3-4孔直角连接件.STEP.STEP-17;M3-4孔直角连接件.STEP.STEP-16;M3-4孔直角连接件.STEP.STEP-15;碳纤维(cnc)-内部电池架-yaw座-对侧.STEP.STEP-2;碳纤维(cnc)-内部电池架-yaw座.STEP.STEP-2;M3-4孔直角连接件.STEP.STEP-14;外购-包胶轴承6-40-10.STEP.STEP-4;M3-4孔直角连接件.STEP.STEP-10;M3-4孔直角连接件.STEP.STEP-9;M3-2孔直角连接件（半）.STEP.STEP-2;M3-4孔直角连接件.STEP.STEP-12;外购-包胶轴承6-40-10.STEP.STEP-3;M3-4孔直角连接件.STEP.STEP-11;M3-4孔直角连接件.STEP.STEP-13;碳纤维(cnc)-内部电池架-yaw座.STEP.STEP-1;碳纤维(cnc)-内部电池架-yaw座-对侧.STEP.STEP-1;碳纤维-4mm-外侧导轮板.STEP.STEP-8;碳纤维-4mm-外侧导轮板.STEP.STEP-6;外购-包胶轴承6-40-10.STEP.STEP-2;碳纤维-4mm-外侧导轮板.STEP.STEP-4;碳纤维-3mm-前后侧引导板.STEP.STEP-1;M3-4孔直角连接件.STEP.STEP-6;M3-4孔直角连接件.STEP.STEP-4;碳纤维-4mm-外侧导轮板.STEP.STEP-5;碳纤维-4mm-外侧导轮板.STEP.STEP-2;碳纤维-4mm-外侧导轮板.STEP.STEP-1;碳纤维-4mm-外侧导轮板.STEP.STEP-3;外购-包胶轴承6-40-10.STEP.STEP-1;碳纤维-4mm-外侧导轮板.STEP.STEP-7;碳纤维-3mm-关节电机内舱板.STEP.STEP-2;碳纤维-3mm-前后侧引导板.STEP.STEP-2;碳纤维-3mm-关节电机内舱板.STEP.STEP-1;M3-4孔直角连接件.STEP.STEP-3;M3-4孔直角连接件.STEP.STEP-5;碳纤维-4mm-电池固定前侧板.STEP.STEP-1;单侧装配体.STEP.STEP-1/8009-RAU_5005_外形尺寸-20240809.STEP.STEP-1/8009-RAU_5005_外形尺寸-20240809.stp.STEP.STEP-1/8009-RAU_5005_000.stp.STEP.STEP-1;单侧装配体.STEP.STEP-1/机加件-髋关节复合固定件.STEP.STEP-1;单侧装配体.STEP.STEP-1/8009-RAU_5005_外形尺寸-20240809-1.STEP.STEP-1/8009-RAU_5005_外形尺寸-20240809.stp-1.STEP.STEP-1/8009-RAU_5005_000.stp.STEP.STEP-1;PH-电池装配.STEP.STEP-1;核心框架.STEP.STEP-1;M3-4孔直角连接件.STEP.STEP-1;PH-电池装配.STEP.STEP-2;M3-4孔直角连接件.STEP.STEP-2;碳纤维-4mm-电池固定前侧板.STEP.STEP-2;Mirror单侧装配体.STEP.STEP-2/Mirror机加件-髋关节复合固定件.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror8009-RAU_5005_外形尺寸-20240809-1.STEP.STEP-1/Mirror8009-RAU_5005_外形尺寸-20240809.stp-1.STEP.STEP-1/Mirror8009-RAU_5005_000.stp.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror8009-RAU_5005_外形尺寸-20240809.STEP.STEP-1/Mirror8009-RAU_5005_外形尺寸-20240809.stp.STEP.STEP-1/Mirror8009-RAU_5005_000.stp.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror腿部装配体.STEP.STEP-1/Mirror标准件-RU42交叉滚子轴承.STEP.STEP-1;单侧装配体.STEP.STEP-1/机加件-左关节链轮-20H04A_05B.STEP.STEP-1;单侧装配体.STEP.STEP-1/碳纤维(cnc)-关节电机端子延展固定.STEP.STEP-1;单侧装配体.STEP.STEP-1/机加件-右关节链轮-20H04A_05B.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror机加件-左关节链轮-20H04A_05B.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror机加件-右关节链轮-20H04A_05B.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror碳纤维(cnc)-关节电机端子延展固定.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/标准件-RU42交叉滚子轴承.STEP.STEP-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
AG,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/AG.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/AG.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/碳纤维-大腿.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/机加件-大腿驱动链轮-20H04A_05B.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/大小腿碗组轴系.STEP.STEP-1/零件3.STEP.STEP-1,_AG,A,jAG,revolute,-0.01375,-0.1995,0.134,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
GH,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/GH.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/GH.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/碳纤维-小腿.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/大小腿碗组轴系.STEP.STEP-1/碗组_顶板.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/大小腿碗组轴系.STEP.STEP-1/碗组_盖板.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/标准件-8×19×6法兰轴承（22-6）.STEP.STEP-3;____2_MH9025.STEP.STEP-1,_GH,G,jGH,revolute,-0.060152,-0.20641,0.0345,0,0,0,AG,0,0,1,0,0,0,0,,,,,,,,
wheel_right,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/wheel_right.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/碳纤维-5mm-轮毂.STEP.STEP-1;包胶轮(2).STEP.STEP-1/包胶轮(2).STEP.STEP.STEP-1/154______.STEP.STEP.STEP-1,_H,H,jwheel_right,revolute,0.25495,-0.039583,0.0155,0,0,0,GH,0,0,-1,0,0,0,0,,,,,,,,
AB,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/AB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/AB.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/机加件-中轴一体-连杆L1.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/标准件-8×19×6法兰轴承（22-6）.STEP.STEP-1,_AB,A,jAB,revolute,-0.01375,-0.2155,0.134,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
BE,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/BE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/BE.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/机加件-连杆L2.STEP.STEP-1,_BE,B,jBE,revolute,0.097866,0.0051238,-0.013,0,0,0,AB,0,0,1,0,0,0,0,,,,,,,,
EC,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/EC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/EC.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/标准件-法兰轴承_15-6-5.STEP.STEP-3;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/机加件-连杆L4.STEP.STEP-1;单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/标准件-法兰轴承_15-6-5.STEP.STEP-1,_EC,E,jEC,revolute,-0.0090761,-0.11725,0.0094,0,0,0,BE,0,0,-1,0,0,0,0,,,,,,,,
CF,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/CF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/CF.STL,,单侧装配体.STEP.STEP-1/腿部装配体.STEP.STEP-1/机加件-连杆L4-平行四边上.STEP.STEP-1,_CF,C,jCF,revolute,-0.17658,0.044698,-0.0124,0,0,0,EC,0,0,-1,0,0,0,0,,,,,,,,
IJ,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/IJ.STL,1,1,1,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/IJ.STL,,Mirror单侧装配体.STEP.STEP-2/Mirror腿部装配体.STEP.STEP-1/Mirror机加件-中轴一体-连杆L1.STEP.STEP-1;Mirror单侧装配体.STEP.STEP-2/Mirror腿部装配体.STEP.STEP-1/Mirror标准件-8×19×6法兰轴承（22-6）.STEP.STEP-1,_IJ,I,jIJ,revolute,-0.01375,0.2165,0.134,1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
JM,-1.46409304608217E-05,-0.0354949144745306,0.0425109333541341,0,0,0,0.806,0.0185700998005273,-2.62750312411757E-07,-1.62029599439976E-06,0.0341463030229295,0.00469921323182554,0.0312450154488285,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/JM.STL,1,1,1,1,0,0,0,0,0,0,package://GBC486.SLDASM/meshes/JM.STL,,Mirror单侧装配体.STEP.STEP-2/Mirror腿部装配体.STEP.STEP-1/Mirror机加件-连杆L2.STEP.STEP-1,_JM,J,jJM,revolute,0.097866,0.0051238,0.013,0,0,0,IJ,0,0,-1,0,0,0,0,,,,,,,,
